orid,area,sub,type,spotlight,n_claims,max_pts,title,authors,arxiv,openreview,alphaxiv,hf
vMcu1h3fOV,Probabilistic Methods,,Poster,False,4,8,Joint Model and Data Sparsification via the Marginal Likelihood,Alexander Timans; Thomas Möllenhoff; Christian A. Naesseth; Mohammad Emtiyaz Khan; Eric Nalisnick,2605.29908,https://openreview.net/forum?id=vMcu1h3fOV,2605.29908,
kTOxGQJkwt,Reinforcement Learning,Multiagent,Poster,False,4,8,TABX: A High-Throughput Sandbox Battle Simulator for Multi-Agent Reinforcement Learning,Hayeong Lee; JunHyeok Oh; Byung-Jun Lee,2602.01665,https://openreview.net/forum?id=kTOxGQJkwt,2602.01665,
D2evvc90tF,Probabilistic Methods,Monte Carlo And Sampling Methods,Poster,False,4,8,Can Microcanonical Langevin Dynamics Leverage Mini-Batch Gradient Noise?,Emanuel Sommer; Kangning Diao; Jakob Robnik; Uros Seljak; David Rügamer,2602.06500,https://openreview.net/forum?id=D2evvc90tF,2602.06500,
aPnQpmwHW7,Deep Learning,Large Language Models,Poster,False,4,8,OmniSIFT: Modality-Asymmetric Token Compression for Efficient Omni-modal Large Language Models,Yue Ding; Yiyan Ji; Jungang Li; Xuyang Liu; Xinlong Chen; Junfei Wu; Bozhou Li; Bohan Zeng; Yang Shi; Yushuo Guan; Yuanxing Zhang; Jiaheng Liu; Qiang Liu; Pengfei Wan; Liang Wang,2602.04804,https://openreview.net/forum?id=aPnQpmwHW7,2602.04804,2602.04804
EhJ1R2N6sn,Reinforcement Learning,,Poster,False,4,8,Geometric Coherence Learning for Structuring Value Functions in Plain MDPs,Zuyuan Zhang; Zeyu Fang; Tian Lan,2602.02978,https://openreview.net/forum?id=EhJ1R2N6sn,2602.02978,
FFAHL32Wok,General Machine Learning,Transfer Multitask And Metalearning,Poster,False,4,8,Decomposing the Basic Abilities of Large Language Models: Mitigating Cross-Task Interference in Multi-Task Instruct-Tuning,Bing Wang; Ximing Li; Changchun Li; Jinjin Chi; Gang Niu; Masashi Sugiyama,2605.05676,https://openreview.net/forum?id=FFAHL32Wok,2605.05676,
3qq7rvJzoj,Reinforcement Learning,,Poster,False,3,6,HodgeFlow Policy Search by Topologically Dissecting Temporal-Difference Signals in Non-Markovian Environments,Zuyuan Zhang; Sizhe Tang; Tian Lan,,https://openreview.net/forum?id=3qq7rvJzoj,,
ZRymA5ujIZ,Deep Learning,Large Language Models,Poster,False,3,6,AffIn-Space: Learning Affine-Invariant Representations for 3D Spatial Understanding with MLLMs,Zhenyu Lu; Liupeng Li; Jinpeng Wang; Haoqian Kang; Manyuan Zhang; Yan Feng; Ke Chen; Yaowei Wang,,https://openreview.net/forum?id=ZRymA5ujIZ,,
hEQDZg1ZeD,Deep Learning,Generative Models And Autoencoders,Poster,False,4,8,Are First-Order Diffusion Samplers Really Slower? A Fast Forward-Value Approach,Yuchen Jiao; Na Li; Changxiao Cai; Gen Li,2512.24927,https://openreview.net/forum?id=hEQDZg1ZeD,2512.24927,
TxHOT32Maj,Social Aspects,,Poster,False,4,8,Social Hippocampus Memory Learning,Liping Yi; Zhiming Zhao; Kewen Zhu; Xiang Li; Zhiwei Shang; Qinghua Hu,2603.25614,https://openreview.net/forum?id=TxHOT32Maj,2603.25614,
8WA5l5tjF6,Deep Learning,Large Language Models,Poster,False,4,8,CVSearch: Empowering Multimodal LLMs with Cognitive Visual Search for High-Resolution Image Perception,Liupeng Li; Haoqian Kang; Zhenyu Lu; Jinpeng Wang; Bin Chen; Ke Chen; Yaowei Wang,2605.23655,https://openreview.net/forum?id=8WA5l5tjF6,2605.23655,
wjQw9XVSEt,Applications,Robotics,Poster,False,3,6,Making Learner Weakness Actionable for Learning from Demonstration with Novice Teachers,Yuqing Zhu; Matthew Howard,,https://openreview.net/forum?id=wjQw9XVSEt,,
lA85cqhMh0,Applications,Computer Vision,Poster,False,4,8,Revisiting Uncertainty: On Evidential Learning for Partially Relevant Video Retrieval,Jun Li; Peifeng Lai; Xuhang Lou; Jinpeng Wang; Yuting Wang; Ke Chen; Yaowei Wang; Shu-Tao Xia,2605.06083,https://openreview.net/forum?id=lA85cqhMh0,2605.06083,
xpIUvw8ANa,Applications,Chemistry Physics And Earth Sciences,Poster,False,4,8,"Learning, Solving and Optimizing PDEs with TensorGalerkin: an efficient high-performance Galerkin assembly algorithm",Shizheng Wen; Mingyuan chi; Tianwei Yu; Ben Moseley; Mike Yan Michelis; Pu Ren; Hao Sun; Siddhartha Mishra,2602.05052,https://openreview.net/forum?id=xpIUvw8ANa,2602.05052,
3W2IAC4cNh,Deep Learning,Large Language Models,Poster,False,2,4,Beyond Reactivity: Proactive Adaptive Conformal Inference for Online LLM Factuality,Xinyu Liu; Jun Wu,,https://openreview.net/forum?id=3W2IAC4cNh,,
bkcxLMm3Gp,Deep Learning,Large Language Models,Poster,False,5,10,DenseSteer: Steering Small Language Models towards Dense Math Reasoning,Yang Ouyang; Shuhang Lin; Jung-Eun Kim,2605.29247,https://openreview.net/forum?id=bkcxLMm3Gp,2605.29247,
t5BgTJ7Z0k,Deep Learning,Generative Models And Autoencoders,Poster,False,4,8,Self-Refining Video Sampling,Sangwon Jang; Taekyung Ki; Jaehyeong Jo; Saining Xie; Jaehong Yoon; Sung Ju Hwang,2601.18577,https://openreview.net/forum?id=t5BgTJ7Z0k,2601.18577,2601.18577
2NRrsz4nUB,Applications,Robotics,Poster,True,4,8,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,Bing Hu; Zaijing Li; Rui Shao; Junda Chen; April Hua Liu; Wei-Shi Zheng; Liqiang Nie,2605.22671,https://openreview.net/forum?id=2NRrsz4nUB,2605.22671,
xeH37plPS3,Applications,Chemistry Physics And Earth Sciences,Poster,False,4,8,Order Matters in Retrosynthesis: Structure-aware Generation via Reaction-Center-Guided Discrete Flow Matching,Chenguang Wang; Zihan Zhou; LEI BAI; Tianshu Yu,2602.13136,https://openreview.net/forum?id=xeH37plPS3,2602.13136,
4v5iCXWmcR,Social Aspects,Everything Else,Poster,False,5,10,"Resting Neurons, Active Insights: Robustifying Activation Sparsity in LLMs via Spontaneity",Haotian Xu; Jiannan Yang; Tian Gao; Tsui-Wei Weng; Tengfei Ma,2512.12744,https://openreview.net/forum?id=4v5iCXWmcR,2512.12744,
